log_count,Latitude,Longitude,Corn,soybeans,S_Grains,All_Grasslands,Forests_All,Water,Developed,Wetlands,year
5.657738536,43.1901,-89.05886,0.347460863,0.216240295,0.01540028,0.241949854,0.065801196,0.002545501,0.052691867,0.034873361,2003
5.914853445,43.25399,-89.06295,0.347416645,0.374522779,0.002672436,0.160855179,0.056757445,0,0.010562484,0.028505981,2003
6.624729018,44.12577,-87.80134,0.200891152,0.10222788,0.035136856,0.45334182,0.101209421,0.002673456,0.016040738,0.074984087,2003
4.949468859,44.27581,-87.64456,0.124904507,0.149987268,0.049401579,0.357015533,0.056531704,0.004456328,0.027247263,0.197988286,2003
6.916219357,44.41684,-87.58308,0.182582124,0.174560733,0.038197097,0.51706137,0.019480519,0.000254647,0.016170104,0.031194296,2003
6.707473397,44.60462,-87.50053,0.167387984,0.066827902,0.050661914,0.495799389,0.024185336,0.000891039,0.04709776,0.100305499,2003
4.185098925,43.83975,-89.3067,0.237555697,0.076511776,0.005346913,0.19949077,0.38103119,0.000763845,0.009166136,0.04939529,2003
7.474488535,43.72741,-89.01278,0.573720397,0.117901706,0.033868093,0.1942959,0.028011204,0.002419149,0.003565062,0.021135727,2003
5.635682062,44.15361,-89.44556,0.546369427,0.052611465,0.002420382,0.043057325,0.016178344,0.000254777,0.004458599,0.00089172,2003
5.877035256,44.30188,-89.38107,0.501972261,0.0528057,0.019086398,0.158035373,0.103702761,0,0.002926581,0.003944522,2003
6.679599186,44.32359,-89.04697,0.250988394,0.141818646,0.019130213,0.204055605,0.171406708,0.000637674,0.036602474,0.133146282,2003
4.702750514,44.39455,-89.44657,0.355759429,0.043577982,0.005606524,0.076452599,0.061544343,0,0.028669725,0.003058104,2003
3.938664936,44.37663,-89.60704,0.136907794,0.065461029,0.004712175,0.316607234,0.154992359,0,0.00229241,0.019485481,2003
6.212606096,44.35414,-88.31206,0.346697213,0.249459081,0.026600484,0.297569047,0.022273132,0.002290951,0.03181876,0.013618429,2003
6.837601019,44.44665,-88.1503,0.174987264,0.214595008,0.07259297,0.435685176,0.044447275,0,0.033876719,0.013754457,2003
6.963189986,44.22214,-87.92389,0.262025961,0.193560702,0.038304912,0.306312039,0.054975821,0.000381777,0.023797404,0.087681344,2003
5.036952602,43.94896,-87.78197,0.359770847,0.018841502,0.014894971,0.497390197,0.058179504,0.000254615,0.00598345,0.033609166,2003
6.862234764,43.86174,-87.78127,0.32046873,0.108393835,0.034008407,0.409119857,0.057190167,0.000127372,0.029168259,0.020634314,2003
7.600152178,43.62328,-87.85468,0.46360397,0.084627132,0.057139221,0.271315856,0.026724357,0.000509035,0.012598626,0.036268771,2003
4.751432693,43.58379,-88.05754,0.224796334,0.065936864,0.032459267,0.475687373,0.098268839,0,0.02354888,0.053207739,2003
6.602927048,44.66056,-91.16944,0.466072565,0.121833227,0.009675366,0.256269892,0.104010185,0.000254615,0.002291534,0.003309994,2003
6.623068716,44.77841,-91.393,0.326120163,0.144730143,0.019348269,0.257892057,0.178589613,0.000636456,0.012219959,0.012347251,2003
5.399293284,44.88722,-91.28209,0.22513689,0.062396536,0.021775118,0.374888578,0.26473959,0,0.003056157,0.005730294,2003
5.884714177,44.9153,-91.50353,0.472632383,0.229378819,0.026858452,0.186863544,0.046461303,0.000127291,0.003309572,0.006237271,2003
5.202632116,44.79981,-91.91406,0.275044609,0.197935254,0.008157023,0.249044099,0.184170278,0,0.007137395,0.02600051,2003
5.862209711,44.77432,-91.91406,0.299974535,0.055895085,0.019735167,0.369365928,0.141456583,0.019098549,0.0236822,0.024318818,2003
0.955511445,44.65433,-91.88883,0.355187778,0.154169319,0.016040738,0.277912158,0.063653724,0.002036919,0.012348822,0.008911521,2003
6.50697916,42.7855,-89.51205,0.398599618,0.317122852,0.005092298,0.230171865,0.020241884,0.000127307,0.008147677,0.002036919,2003
8.101223099,42.7273,-89.02071,0.309954175,0.083121181,0.02354888,0.264511202,0.052825866,0.001527495,0.186990835,0.004837067,2003
6.460686621,42.76897,-88.92822,0.423096511,0.116883117,0.003183091,0.147568118,0.033358798,0.045199898,0.168576522,0.01324166,2003
6.49941103,42.74032,-88.85399,0.431080565,0.22973145,0.006618302,0.208985618,0.103729159,0,0.003181876,0.009418353,2003
7.076864942,42.75926,-89.17859,0.290297937,0.194423224,0.001273237,0.269671505,0.182072829,0,0.024191495,0.006748154,2003
6.426488457,42.81708,-89.30002,0.405450146,0.307143767,0.008022412,0.140965236,0.073220425,0.008659111,0.024194575,0.012606647,2003
6.34738921,42.6867,-89.28908,0.381637591,0.404813447,0.006239654,0.152935184,0.01986502,0,0.006621673,0.004074876,2003
4.158883083,42.9885,-90.68293,0.2315133,0.188494336,0.005091002,0.391879852,0.119638539,0,0.026982309,0.001654576,2003
5.955189491,42.58542,-89.25648,0.309620769,0.213540341,0.000636294,0.302112497,0.124713668,0,0.004708577,0.027996946,2003
5.726847748,43.04111,-90.79243,0.043649784,0.024306439,0.001018071,0.335072538,0.533341817,0.000381777,0.007381013,0.01208959,2003
0,42.56228,-89.11095,0.392743475,0.302100573,0.00547422,0.221133036,0.018586887,0,0.018204965,0.00547422,2003
3.761200116,42.88274,-90.98148,0.600050916,0.185590631,0.001909369,0.176298371,0.00203666,0.000127291,0.021766802,0.000381874,2003
6.933666661,42.63447,-88.96805,0.486950987,0.348440484,0.000254615,0.104901337,0.001782304,0,0.030808402,0.000127307,2003
3.33220451,42.81442,-90.99867,0.520615933,0.303512344,0.002036142,0.153601425,0.002545177,0,0.011962331,0,2003
4.678885224,42.63305,-88.88709,0.47880331,0.331253978,0.003564609,0.131508593,0.043793762,0,0.002291534,0.003182686,2003
3.36729583,42.73921,-90.92987,0.525678603,0.226328533,0.006244425,0.189371734,0.021409456,0.000127437,0.014400408,0.002421308,2003
6.406879986,42.53602,-88.86771,0.37302799,0.491475827,0.004071247,0.111323155,0.002417303,0,0.010687023,0.000254453,2003
4.65396035,42.75739,-90.78616,0.468228702,0.165796511,0.005475614,0.256971858,0.051827327,0.00012734,0.015917484,0.001400739,2003
7.338075588,42.68218,-88.8065,0.485932527,0.480712922,0,0.024315722,0.000127307,0,0.006365372,0,2003
4.762173935,42.87132,-90.50381,0.243026366,0.165201885,0.003056935,0.496624634,0.05680805,0.002929563,0.009425551,0.001401095,2003
