log_count,Latitude,Longitude,Corn,sorghum,soybeans,sunflower,sweet_corn,Barley,spring_wheat,winter_wheat,dbl_winwht_soybeans,rye,oats,millet,canola,alfalfa,sugarbeets,dry_beans,potatoes,other_crops,misc_vegs_fruits,peas,herbs,clover_wildflowers,sod_grass_seed,fallow_idle_cropland,apples,christmas_trees,open_water,dev_openspace,dev_lowintensity,dev_medintensity,dev_highintensity,barren,deciduous_forest,evergreen_forest,Mixed_forest,shrubland,grassland_herbaceous,pasture,woody_wetlands,herbaceous_wetlands,triticale,carrots,greens,strawberries,squash,dbl_winwht_corn,pumpkins,cabbage,cranberries,year
5.657738536,43.1901,-89.05886,0.347460863,0,0.216240295,0,0,0,0,0.01463663,0,0,0.00076365,0,0,0.06032837,0,0.000636375,0,0,0,0.00025455,0,0,0,0.00025455,0,0,0.002545501,0.021127657,0.040600738,0.008145603,0.0015273,0.002418226,0.065801196,0,0,0.0010182,0.001145475,0.137202495,0.002545501,0.032327861,0,0,0,0,0,0,0,0,0,2003
5.914853445,43.25399,-89.06295,0.347416645,0,0.374522779,0,0,0,0,0.001527106,0,0,0.00114533,0,0,0.064647493,0,0,0,0,0,0,0,0,0,0.000509035,0,0,0,0.017816238,0.009798931,0.000763553,0,0,0.056375668,0.000381777,0,0.000890812,0.000763553,0.061847798,0.002290659,0.026215322,0,0,0,0,0,0,0,0,0,2003
6.624729018,44.12577,-87.80134,0.200891152,0,0.10222788,0,0.000763845,0.000127307,0,0.029789943,0,0,0.004583068,0,0,0.233227244,0,0,0,0,0,0.000127307,0,0,0,0.000127307,0,0.000763845,0.002673456,0.011330363,0.015022279,0.000127307,0,0.000891152,0.100063654,0.001145767,0,0.00050923,0.000891152,0.168809675,0.07231063,0.002673456,0,0,0,0,0,0,0,0,0,2003
4.949468859,44.27581,-87.64456,0.124904507,0,0.149987268,0,0,0.000636618,0,0.046982429,0,0,0.001655208,0,0,0.137000255,0,0.000381971,0,0,0,0.000763942,0,0,0,0,0,0.00140056,0.004456328,0.028138528,0.024573466,0.001018589,0,0.001655208,0.053348612,0.003055768,0.000127324,0.000636618,0.003183091,0.196969697,0.194932518,0.003055768,0.000127324,0,0,0.001018589,0,0,0,0,0,2003
6.916219357,44.41684,-87.58308,0.182582124,0,0.174560733,0.000127324,0.001145913,0,0,0.024700789,0,0.000763942,0.007766743,0,0,0.267252355,0,0.000381971,0,0,0,0.005856888,0,0,0.000127324,0.000127324,0,0.003947033,0.000254647,0.008403361,0.015915457,0.000254647,0,0,0.019225872,0.000254647,0,0.000509295,0.001273237,0.189712249,0.030175707,0.001018589,0.000127324,0,0,0,0,0,0,0,0,2003
6.707473397,44.60462,-87.50053,0.167387984,0,0.066827902,0.000381874,0,0,0,0.04302444,0,0,0.006873727,0,0,0.194119145,0,0.008910387,0,0,0,0.003564155,0,0.000381874,0,0.001272912,0,0.017057026,0.000891039,0.01642057,0.030931772,0.00203666,0,0.014129328,0.020112016,0.00407332,0,0,0.004200611,0.265656823,0.100050916,0.000254582,0.000509165,0,0,0,0,0,0,0,0,2003
4.185098925,43.83975,-89.3067,0.237555697,0,0.076511776,0,0.000127307,0,0,0.001145767,0,0.000254615,0.003946531,0,0,0.057033736,0,0,0.000891152,0,0,0.00050923,0.001654997,0,0,0.00050923,0,0.000381922,0.000763845,0.024061108,0.008911521,0.000254615,0,0,0.366008912,0.013367282,0.001654997,0.013112667,0.019350732,0.053087206,0.02342457,0.025970719,0,0,0,0,0,0,0,0,0,2003
7.474488535,43.72741,-89.01278,0.573720397,0,0.117901706,0,0.003183091,0,0,0.009931245,0,0.001018589,0.022918258,0,0,0.065699007,0,0.010949834,0.000381971,0,0,0.000763942,0.000254647,0,0,0.000381971,0,0,0.002419149,0.00903998,0.00280112,0.000127324,0,0.000636618,0.028011204,0,0,0.000381971,0.000763942,0.054239878,0.003310415,0.017825312,0,0,0,0,0,0,0,0.000127324,0,2003
5.635682062,44.15361,-89.44556,0.546369427,0,0.052611465,0,0.045987261,0,0,0.000382166,0,0.001656051,0.000382166,0,0,0.019617834,0,0.031847134,0.145987261,0,0,0.018853503,0.000127389,0,0,0.000127389,0,0.000254777,0.000254777,0.01477707,0.00433121,0,0,0.000127389,0.012866242,0.002929936,0.000382166,0.000764331,0.007006369,0.006878981,0,0.00089172,0,0,0,0,0,0,0,0,0.000254777,2003
5.877035256,44.30188,-89.38107,0.501972261,0,0.0528057,0,0.060058532,0.000254485,0,0.000636213,0,0.001654154,0.002672096,0,0,0.086779488,0,0.045807355,0.002544853,0,0.005344191,0.000508971,0.000381728,0,0,0.000127243,0,0,0,0.012342537,0.002290368,0.000636213,0,0,0.100394452,0.002672096,0.000636213,0.003181066,0.018068457,0.028247869,0.000636213,0.003308309,0,0.000127243,0,0,0,0,0,0,0,2003
